Value, PnL
9994.0, -12.0
9993.690622437118, -12.309377562882673
9996.909625482713, -9.09037451728716
9997.176072740836, -8.823927259163042
9996.951229691018, -9.04877030898274
9994.370642405614, -11.629357594385397
9995.045527576061, -10.954472423938114
9993.657756831404, -12.342243168595473
9988.786510718044, -17.213489281954935
9987.291145597374, -18.708854402625775
9987.373542058369, -18.626457941630974
9987.218104298388, -18.781895701610893
9986.308254608393, -19.691745391605764
9984.971292638384, -21.028707361615943
9985.546738981891, -20.45326101810815
9987.447492510808, -18.552507489192067
9992.75302981611, -13.24697018389088
9991.3734451311, -14.626554868901167
9992.784170977082, -13.215829022917774
9992.288456025417, -13.711543974582924
9994.154033503795, -11.845966496204937
9994.544083359237, -11.455916640763462
9999.485494507773, -6.514505492226704
9997.4253174348, -8.574682565201101
9990.732714643043, -15.267285356957359
9990.80983448406, -15.190165515940407
9991.764580799369, -14.235419200632009
9991.705367535971, -14.294632464029064
9992.819295629186, -13.180704370813373
9995.845587117503, -10.154412882497013
9998.187756055619, -7.812243944381635
9994.854388491482, -11.145611508518869
9996.98883835073, -9.011161649270662
9997.806409189248, -8.193590810751743
10001.463636039814, -4.536363960185781
9999.659324417615, -6.340675582385529
10001.942450232, -4.057549768000854
10005.628253465615, -0.3717465343851245
10002.082633388904, -3.9173666110971226
10000.713030699271, -5.286969300727947
10000.338970889286, -5.661029110713912
9995.859749294057, -10.140250705943117
9994.490627841875, -11.509372158125984
9993.081497182648, -12.918502817353215
9990.896906670996, -15.103093329003173
9992.875732576236, -13.124267423764195
9993.410394481694, -12.589605518305007
9993.661916377376, -12.33808362262505
9993.195222917147, -12.80477708285332
9995.457518233272, -10.542481766727292
9995.244305452501, -10.755694547499502
9996.225197821987, -9.774802178013147
9999.57327477261, -6.426725227389397
9997.519482975555, -8.480517024445476
9996.233390983827, -9.766609016173561
9995.98895431165, -10.011045688350578
9995.869697793914, -10.130302206086526
9997.701800099494, -8.29819990050521
9996.359494161321, -9.640505838678564
